"method","covariate","component","estimate","std.error","conf.low","conf.high","z","p.value","p.adj"
"LDA+ALR","year2021","comp4",-0.364866976375405,0.113837996366654,-0.587985349326249,-0.14174860342456,-3.20514229010343,0.00134995727117476,0.0116137617578489
"LDA+ALR","partydemocratic","comp4",0.280884066530696,0.133044131789702,0.0201223598684788,0.541645773192913,2.11120973734248,0.0347542882485795,0.139017152994318
"LDA+ALR","candidate_typevice_president","comp4",-0.241652909878153,0.132813761288197,-0.501963098654319,0.0186572788980125,-1.81948698338407,0.0688371669014215,0.172092917253554
"LDA+ALR","year2020","comp5",-0.0472977860823091,0.185549692819902,-0.410968501351786,0.316372929187168,-0.254906302260588,0.79879546852973,0.939759374740859
"LDA+ALR","year2021","comp5",0.0390531762103968,0.25119236357416,-0.453274809586448,0.531381162007242,0.155471192096439,0.876449863150249,0.973833181278054
"LDA+ALR","partydemocratic","comp5",-1.08069729864295,0.333364045389691,-1.73407882134732,-0.427315775938576,-3.24179320952158,0.0011878017656952,0.0116137617578489
"LDA+ALR","candidate_typevice_president","comp5",-0.255161356066593,0.331325145030596,-0.90454670749907,0.394223995365885,-0.770123728590023,0.441226501679873,0.551533127099841
"STM","year2020","comp1",-0.223434168392156,0.0918171347334885,-0.403392445633455,-0.0434758911508566,-2.43346918895589,0.0149549081477828,0.0299098162955656
"STM","year2021","comp1",-0.183706592410902,0.0933057273414371,-0.366582457551433,-0.000830727270371201,-1.96886726726493,0.0489683352408613,0.0890333368015661
"STM","partydemocratic","comp1",-0.432998111461122,0.0721175237374976,-0.57434586064083,-0.291650362281415,-6.00406238346734,1.92440705322378e-09,9.62203526611889e-09
"STM","candidate_typevice_president","comp1",-0.0877243132271461,0.0811813412618963,-0.246836818317118,0.0713881918628261,-1.08059699265305,0.279876420871103,0.349845526088879
"STM","year2020","comp2",-0.147512459560905,0.0805387292713717,-0.305365468293415,0.0103405491716056,-1.83157172822864,0.0670152521177506,0.103100387873462
"STM","year2021","comp2",-0.23244119252076,0.0644324063251026,-0.358726388355212,-0.106155996686308,-3.60751996981062,0.000309137751546849,0.000883250718705282
"STM","partydemocratic","comp2",-0.31244985037512,0.0653775670042484,-0.440587527100301,-0.184312173649939,-4.77915995795341,1.76029110389367e-06,7.0411644155747e-06
"STM","candidate_typevice_president","comp2",0.00693296983629021,0.0783075610121739,-0.146547029464743,0.160412969137324,0.0885351267065054,0.929451366869695,0.95886030359424
"STM","year2020","comp3",-0.00891950884444056,0.0772556894005127,-0.160337877670258,0.142498859981377,-0.115454394539147,0.908084966561541,0.95886030359424
"STM","year2021","comp3",-0.151173638741014,0.0849730081329704,-0.317717674339665,0.0153703968576366,-1.77907834573127,0.0752269183062469,0.107467026151781
"STM","partydemocratic","comp3",-0.432202946010342,0.0612349994062475,-0.552221339439919,-0.312184552580765,-7.05810321223333,1.68790675032607e-12,1.68790675032607e-11
"STM","candidate_typevice_president","comp3",-0.393532983678501,0.0627734726993091,-0.516566729353655,-0.270499238003347,-6.26909690919222,3.63148078920483e-10,2.42098719280322e-09
"STM","year2020","comp4",-0.103925670888477,0.0678839538870444,-0.236975775635262,0.0291244338583081,-1.53093131642573,0.125786368484619,0.167715157979492
"STM","year2021","comp4",-0.163186746619974,0.0639713555468508,-0.288568299534008,-0.0378051937059395,-2.5509346366822,0.0107434472459746,0.0268586181149364
"STM","partydemocratic","comp4",-0.00388714758164916,0.0753559312203283,-0.15158205879497,0.143807763631672,-0.0515838304789012,0.95886030359424,0.95886030359424
"STM","candidate_typevice_president","comp4",0.19033209837739,0.0763927095140444,0.0406051390484328,0.340059057706347,2.49149558365119,0.012720654851735,0.0282681218927445
"STM","year2020","comp5",-0.0227771916917088,0.0877494928700742,-0.194763037378709,0.149208653995291,-0.259570636213633,0.795194989016976,0.93552351649056
"STM","year2021","comp5",-0.14327188966961,0.0773258829528285,-0.294827835329914,0.00828405599069304,-1.8528322496752,0.0639064062805256,0.103100387873462
"STM","partydemocratic","comp5",-0.509667455632372,0.0707472945330836,-0.648329604920863,-0.371005306343881,-7.20405577338418,5.84474406619665e-13,1.16894881323933e-11
"STM","candidate_typevice_president","comp5",-0.39118844644356,0.0843810053678704,-0.556572177943867,-0.225804714943253,-4.63597754895336,3.55254527003498e-06,1.18418175667833e-05
